,Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes,lat/lon,State
0,3400392,Thaaliwala,1,Agra,"Next To ITC Mughal Hotel, Fatehabad Road, Tajganj, Agra",Tajganj,"Tajganj, Agra",78.04535899999999,27.158821999999997,"North Indian, Fast Food",700,Indian Rupees(Rs.),No,No,No,No,2,4.1,Green,Very Good,168,"27.158821999999997,78.04535899999999",Uttar Pradesh
1,3400017,Pinch Of Spice,1,Agra,"23/453, Opposite Sanjay Cinema, Wazipura Road, Sanjay Place, Civil Lines, Agra",Civil Lines,"Civil Lines, Agra",78.00755278,27.201725,"North Indian, Chinese, Mughlai",1000,Indian Rupees(Rs.),No,No,No,No,3,4.2,Green,Very Good,177,"27.201725,78.00755278",Uttar Pradesh
2,3400346,Sheroes Hangout,1,Agra,"Opposite The Gateway Hotel, Fatehabad Road, Tajganj, Agra",Tajganj,"Tajganj, Agra",78.040165,27.16185,"Cafe, North Indian, Chinese",0,Indian Rupees(Rs.),No,No,No,No,1,4.9,Dark Green,Excellent,77,"27.16185,78.040165",Uttar Pradesh
3,3400072,Dawat-e-Nawab - Radisson Blu,1,Agra,"Radisson Blu, Taj East Gate Road, Tajganj, Agra","Radisson Blu, Tajganj","Radisson Blu, Tajganj, Agra",78.05704399999999,27.163303000000003,"North Indian, Mughlai",3600,Indian Rupees(Rs.),No,No,No,No,4,3.8,Yellow,Good,46,"27.163303000000003,78.05704399999999",Uttar Pradesh
4,3400060,Taj Bano - ITC Mughal,1,Agra,"ITC Mughal, Fatehabad Road, Tajganj, Agra","ITC Mughal, Tajganj","ITC Mughal, Tajganj, Agra",78.044095,27.160934,Mughlai,2500,Indian Rupees(Rs.),No,No,No,No,4,4.0,Green,Very Good,41,"27.160934,78.044095",Uttar Pradesh
5,3400019,Dasaprakash Restaurant,1,Agra,"Meher Cinema Complex, Gwalior Road, Rakabganj, Agra",Rakabganj,"Rakabganj, Agra",78.01505278,27.16510833,"South Indian, Desserts",550,Indian Rupees(Rs.),No,No,No,No,2,4.1,Green,Very Good,121,"27.16510833,78.01505278",Uttar Pradesh
6,3400021,Chokho Jeeman Marwari Jain Bhojanalya,1,Agra,"1/48, Delhi Gate, Station Road, Raja Mandi, Civil Lines, Agra",Civil Lines,"Civil Lines, Agra",77.99809167,27.19592778,Rajasthani,400,Indian Rupees(Rs.),No,No,No,No,2,4.0,Green,Very Good,87,"27.19592778,77.99809167",Uttar Pradesh
7,3400016,Pind Balluchi,1,Agra,"Opposite Saga Emporium, Fatehabad Road, Tajganj, Agra",Tajganj,"Tajganj, Agra",78.04725,27.15777222,"North Indian, Mughlai",900,Indian Rupees(Rs.),No,No,No,No,3,3.7,Yellow,Good,175,"27.15777222,78.04725",Uttar Pradesh
8,3400059,Peshawri - ITC Mughal,1,Agra,"ITC Mughal, Fatehabad Road, Tajganj, Agra","ITC Mughal, Tajganj","ITC Mughal, Tajganj, Agra",78.044095,27.160934,"North Indian, Mughlai",2500,Indian Rupees(Rs.),No,No,No,No,4,4.3,Green,Very Good,133,"27.160934,78.044095",Uttar Pradesh
9,3400105,Pizza Hut,1,Agra,"8, Handicraft Nagar, Fatehabad Road, Tajganj, Agra",Tajganj,"Tajganj, Agra",78.03471389,27.16169444,"Italian, Pizza",700,Indian Rupees(Rs.),No,No,No,No,2,4.4,Green,Very Good,134,"27.16169444,78.03471389",Uttar Pradesh
